Index,hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,parking_spaces,total_of_special_requests,y_pred,y_pred_proba,is_canceled,timestamp
22,Resort Hotel,0,1,0,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,A,A,0,No Deposit,UNK,UNK,0,Transient,79.0,0,0,0,0.4005849162292124,0,2016-05-01
23,Resort Hotel,0,1,0,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,UNK,0,Transient,79.0,0,0,0,0.10391321983249306,0,2016-05-01
24,Resort Hotel,0,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,UNK,302.0,0,Transient,39.5,0,1,1,0.5898678007008604,0,2016-05-01
25,Resort Hotel,11,1,1,2,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,UNK,0,Transient-Party,85.0,0,0,0,0.034012203602746205,0,2016-05-01
26,City Hotel,0,1,3,1,0.0,0,BB,PRT,Aviation,Corporate,0,0,0,A,A,0,No Deposit,UNK,153.0,0,Transient-Party,95.0,0,0,1,0.6978147119608544,0,2016-05-01
27,City Hotel,0,1,3,1,0.0,0,BB,SVN,Aviation,Corporate,0,0,0,A,A,0,No Deposit,UNK,153.0,0,Transient-Party,95.0,0,0,0,0.30021410225591255,0,2016-05-01
28,City Hotel,164,1,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,8.0,UNK,0,Transient,99.45,0,0,0,0.06320094750751093,0,2016-05-01
29,Resort Hotel,17,1,0,1,0.0,0,BB,PRT,Direct,Direct,1,0,2,D,D,0,No Deposit,250.0,399.0,0,Transient-Party,81.0,0,0,1,0.5543339613828726,0,2016-05-01
30,City Hotel,66,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,11,E,E,1,Non Refund,UNK,51.0,0,Transient-Party,106.0,0,0,1,0.6001480827083402,0,2016-05-01
31,Resort Hotel,4,1,3,1,0.0,0,BB,UNK,Corporate,Corporate,0,0,1,A,C,0,No Deposit,UNK,62.0,0,Transient,42.0,0,0,0,0.4067576126394435,0,2016-05-01
32,City Hotel,110,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,101.58,0,2,1,0.7481145401482696,0,2016-05-01
33,City Hotel,115,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,173.0,UNK,0,Transient-Party,90.95,0,1,0,0.4199823561372322,0,2016-05-01
34,City Hotel,115,1,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,173.0,UNK,0,Transient-Party,90.95,0,0,0,0.08979989860616466,0,2016-05-01
35,City Hotel,111,1,3,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,UNK,0,Transient,101.58,0,1,0,0.39684683049667197,0,2016-05-01
36,City Hotel,216,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,7.0,UNK,0,Transient,69.38,0,1,0,0.06455273936910598,0,2016-05-01
37,City Hotel,5,1,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,156.0,0,1,0,0.20826394252760375,0,2016-05-01
38,City Hotel,77,1,3,2,2.0,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,UNK,0,Transient,187.85,0,1,0,0.204791000617306,0,2016-05-01
39,Resort Hotel,3,1,1,1,0.0,0,BB,UNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,5.0,UNK,0,Transient,72.0,0,0,0,0.2536098057588476,0,2016-05-01
40,City Hotel,83,1,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16.0,UNK,0,Transient,80.75,0,0,0,0.06769128143915518,0,2016-05-01
41,Resort Hotel,0,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,7,A,D,1,No Deposit,270.0,UNK,0,Transient,42.0,0,0,0,0.4090835357725181,0,2016-05-01
42,Resort Hotel,152,1,2,2,0.0,0,BB,ARG,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,336.0,UNK,0,Transient,47.4,1,1,0,0.022954332410678666,0,2016-05-01
43,Resort Hotel,24,1,5,2,2.0,0,BB,FRA,Online TA,TA/TO,1,0,2,G,G,1,No Deposit,240.0,UNK,0,Transient,147.0,1,1,0,0.009645663671685414,0,2016-05-01
44,City Hotel,164,1,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,UNK,0,Transient,99.45,0,0,0,0.056085356933067376,0,2016-05-01
45,City Hotel,112,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,107.95,0,1,0,0.17593343743279918,0,2016-05-01
46,City Hotel,164,1,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,8.0,UNK,0,Transient,99.45,0,0,0,0.06320094750751093,0,2016-05-01
47,City Hotel,105,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,110.08,0,1,1,0.7373022753552932,0,2016-05-01
48,City Hotel,0,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,UNK,UNK,0,Transient,139.0,0,0,1,0.7333907050093748,0,2016-05-01
49,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
50,City Hotel,88,1,0,2,0.0,0,BB,ISR,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,UNK,0,Transient,125.1,1,0,0,0.01873808146000126,0,2016-05-01
51,City Hotel,180,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.2209625629762706,0,2016-05-01
52,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
53,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
54,City Hotel,180,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.2209625629762706,0,2016-05-01
55,City Hotel,4,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,B,1,No Deposit,UNK,221.0,0,Transient,95.0,0,0,1,0.5637779169679529,0,2016-05-01
56,City Hotel,80,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,UNK,0,Transient,126.9,0,1,0,0.23150157634596777,0,2016-05-01
57,City Hotel,80,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,126.9,0,1,0,0.33613145148868123,0,2016-05-01
58,City Hotel,80,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,UNK,0,Transient,126.9,0,1,0,0.23150157634596777,0,2016-05-01
59,City Hotel,180,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.2209625629762706,0,2016-05-01
60,City Hotel,15,1,1,2,0.0,0,BB,JPN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,UNK,0,Transient,141.0,0,1,0,0.060594694622917424,0,2016-05-01
61,City Hotel,82,1,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,3.0,UNK,0,Transient-Party,80.0,0,1,0,0.2135420789366367,0,2016-05-01
62,City Hotel,11,1,1,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,186.0,0,2,0,0.2351720441508452,0,2016-05-01
63,City Hotel,3,1,0,2,0.0,0,BB,PRT,Corporate,Corporate,1,3,29,A,A,1,No Deposit,UNK,40.0,0,Transient,75.0,0,0,1,0.5651234626596258,0,2016-05-01
64,City Hotel,0,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,5,A,A,0,No Deposit,UNK,40.0,0,Transient,65.0,0,0,1,0.6895752336287978,0,2016-05-01
65,Resort Hotel,97,3,8,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,UNK,0,Transient,62.73,0,1,0,0.09171014953829383,0,2016-05-01
66,Resort Hotel,152,1,2,2,0.0,0,BB,ARG,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,336.0,UNK,0,Transient,41.4,0,1,0,0.21563948859326806,0,2016-05-01
67,City Hotel,2,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,141.0,0,1,0,0.3918217710022405,0,2016-05-01
68,City Hotel,72,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,F,1,No Deposit,9.0,UNK,0,Transient,149.4,0,2,0,0.22705821938196408,0,2016-05-01
69,City Hotel,109,1,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,UNK,0,Transient,88.01,0,1,1,0.5598373744255912,0,2016-05-01
70,City Hotel,38,1,2,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,116.1,0,1,0,0.2177487463741281,0,2016-05-01
71,City Hotel,4,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,85.0,UNK,0,Transient,90.0,0,0,1,0.7169506738400511,0,2016-05-01
72,City Hotel,23,1,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,UNK,0,Transient,143.99,0,1,1,0.6104551476087975,0,2016-05-01
73,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
74,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
75,City Hotel,1,1,0,2,1.0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,9.0,UNK,0,Transient,159.0,0,2,0,0.27205543365238083,0,2016-05-01
76,City Hotel,210,1,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,UNK,0,Transient,88.7,0,0,0,0.08205784661025652,0,2016-05-01
77,City Hotel,180,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.2209625629762706,0,2016-05-01
78,City Hotel,82,1,1,1,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,3.0,UNK,0,Transient-Party,80.0,0,1,0,0.024834806610461668,0,2016-05-01
79,City Hotel,82,1,1,1,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,3.0,UNK,0,Transient-Party,80.0,0,1,0,0.024834806610461668,0,2016-05-01
80,City Hotel,180,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.2209625629762706,0,2016-05-01
81,City Hotel,180,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.2209625629762706,0,2016-05-01
82,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
83,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
84,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
85,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
86,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
87,City Hotel,0,1,0,1,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,UNK,0,Transient,139.0,0,0,0,0.08251084099577116,0,2016-05-01
88,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
89,City Hotel,3,1,0,1,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,UNK,0,Transient,104.72,0,1,0,0.06477882903156723,0,2016-05-01
90,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,0.0,0,1,0,0.028246547837963237,0,2016-05-01
91,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
92,City Hotel,24,1,0,1,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,UNK,0,Transient,124.0,0,1,0,0.07011322482445877,0,2016-05-01
93,City Hotel,4,1,0,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,UNK,0,Transient,95.0,0,0,0,0.09878996191470141,0,2016-05-01
94,City Hotel,180,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,UNK,0,Transient-Party,100.0,0,1,0,0.028246547837963237,0,2016-05-01
95,City Hotel,3,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,UNK,219.0,0,Transient,98.0,1,0,0,0.0630291548628176,0,2016-05-01
96,City Hotel,82,1,1,1,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,3.0,UNK,0,Transient-Party,80.0,0,1,0,0.024834806610461668,0,2016-05-01
97,City Hotel,12,1,0,2,0.0,1,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,UNK,0,Transient,141.0,0,2,0,0.20056377285006682,0,2016-05-01
98,City Hotel,23,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,7.0,UNK,0,Transient,108.57,0,1,1,0.6104551476087975,0,2016-05-01
99,City Hotel,113,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,105.3,0,1,1,0.7481145401482696,0,2016-05-01
100,City Hotel,105,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,UNK,0,Transient,94.5,0,1,1,0.8078977759357905,0,2016-05-01
101,City Hotel,19,1,2,2,0.0,0,BB,BOL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,UNK,0,Transient-Party,130.0,0,0,0,0.015004168270441987,0,2016-05-01
102,City Hotel,19,1,2,1,0.0,0,BB,BOL,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,15.0,UNK,0,Transient-Party,120.0,0,0,0,0.009015765892283192,0,2016-05-01
103,City Hotel,3,1,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,28.0,UNK,0,Transient,92.7,0,0,1,0.8031754117168922,0,2016-05-01
104,City Hotel,3,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,28.0,UNK,0,Transient,110.21,0,0,1,0.8031754117168922,0,2016-05-01
105,City Hotel,0,1,2,2,0.0,0,BB,BOL,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,15.0,UNK,0,Transient-Party,0.0,0,0,0,0.023030418750424192,0,2016-05-01
106,City Hotel,19,1,2,2,0.0,0,BB,BOL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,UNK,0,Transient-Party,130.0,0,0,0,0.015004168270441987,0,2016-05-01
107,City Hotel,19,1,2,1,0.0,0,BB,BOL,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,15.0,UNK,0,Transient-Party,120.0,0,0,0,0.009015765892283192,0,2016-05-01
108,City Hotel,19,1,2,2,0.0,0,BB,BOL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,UNK,0,Transient-Party,130.0,0,0,0,0.015004168270441987,0,2016-05-01
109,City Hotel,19,1,2,2,0.0,0,BB,BOL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,UNK,0,Transient-Party,130.0,0,0,0,0.015004168270441987,0,2016-05-01
110,City Hotel,121,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,99.45,0,1,0,0.18428856221761872,0,2016-05-01
111,City Hotel,153,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,UNK,0,Transient,88.01,0,0,0,0.07789497736789563,0,2016-05-01
112,City Hotel,79,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,126.9,0,0,0,0.23061050996051485,0,2016-05-01
113,City Hotel,84,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,UNK,0,Transient,75.0,0,0,0,0.0943711335336362,0,2016-05-01
114,City Hotel,88,1,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,27.0,UNK,0,Transient,80.75,0,0,0,0.07805986638058908,0,2016-05-01
115,City Hotel,108,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,94.5,0,1,0,0.33613145148868123,0,2016-05-01
116,City Hotel,110,1,2,2,1.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,11.0,UNK,0,Transient,68.04,0,1,0,0.012964408191678208,0,2016-05-01
117,City Hotel,24,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,129.0,0,1,0,0.38417654614140584,0,2016-05-01
118,City Hotel,31,1,2,2,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,126.9,0,1,0,0.2177487463741281,0,2016-05-01
119,Resort Hotel,108,3,6,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,240.0,UNK,0,Transient,94.0,1,1,0,0.006541486918825019,0,2016-05-01
120,Resort Hotel,15,1,2,1,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,UNK,0,Transient,90.0,0,1,0,0.11223572883950152,0,2016-05-01
121,Resort Hotel,108,3,6,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,115.0,UNK,0,Transient,44.07,1,0,0,0.011435690334900757,0,2016-05-01
122,City Hotel,143,1,4,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,UNK,0,Transient,64.26,0,0,0,0.023495070585213756,0,2016-05-01
123,City Hotel,31,1,2,2,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,126.9,0,1,0,0.2177487463741281,0,2016-05-01
124,City Hotel,19,1,2,2,0.0,0,BB,BOL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,UNK,0,Transient-Party,130.0,0,0,0,0.015004168270441987,0,2016-05-01
125,City Hotel,122,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,UNK,0,Transient,99.45,0,0,0,0.1950470296346993,0,2016-05-01
126,City Hotel,126,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,15.0,UNK,0,Transient,86.36,0,0,0,0.016320869285661153,0,2016-05-01
127,City Hotel,79,1,2,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,UNK,0,Transient,116.1,0,0,0,0.08091726744908656,0,2016-05-01
128,City Hotel,19,1,2,2,0.0,0,BB,BOL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,UNK,0,Transient-Party,130.0,0,0,0,0.015004168270441987,0,2016-05-01
129,City Hotel,19,1,2,2,0.0,0,BB,BOL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,UNK,0,Transient-Party,130.0,0,0,0,0.015004168270441987,0,2016-05-01
130,Resort Hotel,29,1,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,UNK,0,Transient,95.0,0,1,0,0.11940700897511267,0,2016-05-01
131,Resort Hotel,109,2,5,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,71.0,UNK,0,Transient,58.0,0,1,0,0.09246710317148285,0,2016-05-01
132,Resort Hotel,199,1,1,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,298.0,UNK,0,Transient-Party,54.5,0,0,0,0.017072525268231272,0,2016-05-01
