Index,hotel,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,parking_spaces,total_of_special_requests,y_pred,y_pred_proba,timestamp
16928,City Hotel,11,2,0,2,0.0,1,SC,ITA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,UNK,0,Transient,135.0,0,3,0,0.2689630711863821,2016-10-01
16929,City Hotel,0,0,0,2,1.0,0,HB,PRT,Online TA,TA/TO,1,0,0,A,K,0,No Deposit,9.0,UNK,0,Transient,0.0,0,1,1,0.7964208192250685,2016-10-01
16930,City Hotel,161,2,3,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,7.0,UNK,0,Transient,108.8,0,2,0,0.16458720308300762,2016-10-01
16931,City Hotel,161,2,3,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,UNK,0,Transient,91.48,0,1,0,0.16458720308300762,2016-10-01
16932,City Hotel,32,2,3,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,83.0,UNK,0,Transient,152.98,0,0,0,0.08550731216270079,2016-10-01
16933,City Hotel,47,2,3,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,7.0,UNK,0,Transient,79.0,0,2,0,0.05477118659328628,2016-10-01
16934,City Hotel,54,2,0,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,118.8,0,2,0,0.3298132827942513,2016-10-01
16935,City Hotel,22,2,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,UNK,UNK,0,Transient,0.0,0,1,1,0.583118096878397,2016-10-01
16936,City Hotel,117,1,0,1,0.0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,108.0,0,2,0,0.18428856221761872,2016-10-01
16937,City Hotel,222,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,102.85,0,1,0,0.20891638342092272,2016-10-01
16938,City Hotel,23,2,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,UNK,0,Transient,94.36,0,1,0,0.0884597077368853,2016-10-01
16939,City Hotel,18,2,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,UNK,0,Transient,85.0,0,0,0,0.11961480707088896,2016-10-01
16940,City Hotel,10,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,UNK,0,Transient,85.0,0,0,0,0.15150956219090148,2016-10-01
16941,City Hotel,12,2,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,UNK,0,Transient,85.0,0,0,0,0.15150956219090148,2016-10-01
16942,City Hotel,37,2,1,3,0.0,0,BB,MAR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,158.4,0,1,0,0.20826394252760375,2016-10-01
16943,City Hotel,1,2,1,1,0.0,0,BB,USA,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,UNK,0,Transient,154.0,0,1,0,0.2554009052399307,2016-10-01
16944,City Hotel,26,2,1,2,0.0,0,SC,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,133.0,0,0,1,0.6870239043068723,2016-10-01
16945,City Hotel,34,2,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,UNK,0,Transient,117.0,0,0,0,0.1312468513897514,2016-10-01
16946,City Hotel,11,2,0,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,135.0,0,2,0,0.2177487463741281,2016-10-01
16947,City Hotel,9,2,1,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,UNK,0,Transient,85.0,0,1,0,0.06718381710974525,2016-10-01
16948,City Hotel,9,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,UNK,0,Transient,85.0,0,1,0,0.13594189005391297,2016-10-01
16949,City Hotel,9,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,UNK,0,Transient,85.0,0,1,0,0.13594189005391297,2016-10-01
16950,City Hotel,35,2,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,UNK,0,Transient,144.63,0,0,0,0.2829500395055551,2016-10-01
16951,City Hotel,21,2,2,2,0.0,0,BB,ITA,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,UNK,0,Transient,121.63,0,3,0,0.10963292187282699,2016-10-01
16952,City Hotel,19,2,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,UNK,0,Transient,85.0,0,0,0,0.11961480707088896,2016-10-01
16953,City Hotel,46,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,UNK,0,Transient,90.55,0,1,0,0.0840017864792582,2016-10-01
16954,City Hotel,3,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83.0,UNK,0,Transient,128.0,0,0,0,0.12546685185894116,2016-10-01
16955,City Hotel,38,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,126.0,0,0,0,0.4145333755844283,2016-10-01
16956,City Hotel,51,2,0,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,151.2,0,1,0,0.31742791431075756,2016-10-01
16957,City Hotel,47,2,3,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,7.0,UNK,0,Transient,79.0,0,2,0,0.05477118659328628,2016-10-01
16958,City Hotel,75,2,0,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,UNK,0,Transient,96.78,0,1,0,0.15695341845460267,2016-10-01
16959,City Hotel,42,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,UNK,0,Transient,97.02,0,1,0,0.0884597077368853,2016-10-01
16960,City Hotel,127,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,UNK,0,Transient,91.48,0,1,0,0.0450656429064498,2016-10-01
16961,City Hotel,95,2,1,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,108.0,0,2,0,0.18428856221761872,2016-10-01
16962,City Hotel,127,2,3,3,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,UNK,0,Transient,146.92,0,1,0,0.03882308605680462,2016-10-01
16963,Resort Hotel,28,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,UNK,0,Transient,135.0,1,1,0,0.01316239995858315,2016-10-01
16964,City Hotel,3,4,10,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,3,No Deposit,UNK,45.0,0,Transient,0.0,0,0,1,0.7311702224658787,2016-10-01
16965,City Hotel,16,2,1,1,0.0,0,BB,CHE,Corporate,Corporate,0,0,0,A,A,0,No Deposit,UNK,150.0,0,Transient,95.0,0,0,0,0.3672749170462879,2016-10-01
16966,City Hotel,18,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,UNK,0,Transient,85.0,0,0,0,0.11961480707088896,2016-10-01
16967,City Hotel,16,2,1,1,0.0,0,BB,NLD,Corporate,Corporate,0,0,0,A,A,0,No Deposit,UNK,150.0,0,Transient,95.0,0,0,0,0.18605419601143441,2016-10-01
16968,City Hotel,195,2,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,108.9,0,2,0,0.20891638342092272,2016-10-01
16969,City Hotel,10,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,UNK,0,Transient,85.0,0,0,0,0.15150956219090148,2016-10-01
16970,City Hotel,12,2,1,1,0.0,0,BB,USA,Offline TA/TO,GDS,0,0,0,A,A,0,No Deposit,195.0,UNK,0,Transient,6.0,0,0,0,0.2568444900750513,2016-10-01
16971,Resort Hotel,48,2,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,UNK,0,Transient,105.0,1,1,0,0.008037254235686873,2016-10-01
16972,City Hotel,33,2,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,108.0,0,0,0,0.35837427751938283,2016-10-01
16973,Resort Hotel,3,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,UNK,0,Transient,101.0,1,1,0,0.01491974171917414,2016-10-01
16974,Resort Hotel,208,2,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,243.0,UNK,0,Contract,37.4,0,0,0,0.010158570692238827,2016-10-01
16975,City Hotel,10,2,1,1,0.0,0,BB,BEL,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,UNK,0,Transient,149.0,0,0,0,0.08767085996548266,2016-10-01
16976,City Hotel,163,2,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,168.0,UNK,0,Transient-Party,80.75,0,0,0,0.045847363855208954,2016-10-01
16977,City Hotel,21,2,1,2,0.0,0,BB,USA,Direct,Direct,0,0,0,D,D,2,No Deposit,14.0,UNK,0,Transient,61.33,0,0,0,0.23951293466413026,2016-10-01
16978,City Hotel,42,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,UNK,0,Transient,107.41,0,1,0,0.0840017864792582,2016-10-01
16979,City Hotel,16,2,1,1,0.0,0,BB,NLD,Corporate,Corporate,0,0,0,A,A,0,No Deposit,UNK,150.0,0,Transient,95.0,0,0,0,0.18605419601143441,2016-10-01
16980,City Hotel,257,2,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,106.2,0,3,0,0.09666848988650413,2016-10-01
16981,Resort Hotel,12,1,0,2,0.0,0,BB,USA,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,UNK,0,Transient,198.0,1,0,0,0.022004203776561503,2016-10-01
16982,Resort Hotel,155,2,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,243.0,UNK,0,Transient,44.0,0,1,0,0.012989995310207376,2016-10-01
16983,Resort Hotel,79,1,0,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.0,UNK,0,Transient,59.0,0,0,0,0.12318111170504957,2016-10-01
16984,Resort Hotel,0,1,0,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,UNK,UNK,0,Transient,105.0,0,0,0,0.305409793836891,2016-10-01
16985,City Hotel,86,2,1,3,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,151.2,0,2,0,0.17593343743279918,2016-10-01
16986,Resort Hotel,8,1,0,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,UNK,0,Transient,136.0,1,1,0,0.018444148708152544,2016-10-01
16987,City Hotel,37,2,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,UNK,0,Transient,126.0,0,1,0,0.07011322482445877,2016-10-01
16988,City Hotel,21,2,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,129.0,0,1,0,0.38417654614140584,2016-10-01
16989,Resort Hotel,0,2,0,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,UNK,0,Transient-Party,95.0,0,1,0,0.2145958406384502,2016-10-01
16990,City Hotel,57,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,118.8,0,2,0,0.3298132827942513,2016-10-01
16991,Resort Hotel,0,2,0,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,UNK,0,Transient-Party,116.0,1,1,0,0.028259214682625402,2016-10-01
16992,Resort Hotel,70,2,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,G,0,No Deposit,242.0,UNK,0,Transient,105.0,1,1,0,0.05008518605000551,2016-10-01
16993,City Hotel,20,2,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,164.0,0,0,1,0.5061105425018586,2016-10-01
16994,City Hotel,24,2,1,2,0.0,0,BB,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,149.0,0,1,1,0.6591794784434877,2016-10-01
16995,City Hotel,31,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,89.0,UNK,0,Transient,104.64,0,0,0,0.1338128116641016,2016-10-01
16996,City Hotel,185,3,5,3,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,16.0,UNK,0,Transient,150.4,0,0,0,0.06563509905997796,2016-10-01
16997,Resort Hotel,50,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,UNK,0,Transient,46.0,0,0,0,0.20784497388628195,2016-10-01
16998,City Hotel,34,2,3,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,UNK,0,Transient,95.47,0,1,0,0.05899075433076168,2016-10-01
16999,City Hotel,10,2,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,UNK,0,Transient,85.0,0,0,0,0.10220810918924111,2016-10-01
17000,City Hotel,163,2,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,168.0,UNK,0,Transient-Party,80.75,0,0,0,0.045847363855208954,2016-10-01
17001,Resort Hotel,165,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,UNK,0,Transient,46.0,0,0,0,0.1755650862962472,2016-10-01
17002,City Hotel,34,2,1,3,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,158.4,0,1,0,0.4076532581224026,2016-10-01
17003,City Hotel,0,1,0,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,UNK,UNK,0,Transient,144.0,0,0,1,0.7333907050093748,2016-10-01
17004,City Hotel,40,1,0,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,158.4,0,1,0,0.2351720441508452,2016-10-01
17005,Resort Hotel,63,2,2,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,UNK,0,Transient,100.1,0,1,0,0.12739681032849068,2016-10-01
17006,Resort Hotel,145,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,UNK,0,Transient,69.0,0,3,1,0.5106276786622401,2016-10-01
17007,Resort Hotel,166,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,UNK,0,Transient,46.0,0,0,0,0.1755650862962472,2016-10-01
17008,Resort Hotel,166,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,UNK,0,Transient,46.0,0,0,0,0.1755650862962472,2016-10-01
17009,Resort Hotel,166,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,UNK,0,Transient,46.0,0,0,0,0.1755650862962472,2016-10-01
17010,Resort Hotel,165,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,UNK,0,Transient,46.0,0,0,0,0.1755650862962472,2016-10-01
17011,Resort Hotel,94,2,2,1,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,UNK,0,Transient,41.0,0,1,0,0.15798592346995688,2016-10-01
17012,Resort Hotel,94,2,2,1,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,UNK,0,Transient,39.0,0,1,0,0.15798592346995688,2016-10-01
17013,Resort Hotel,166,2,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,96.0,UNK,0,Transient,47.5,0,0,0,0.1755650862962472,2016-10-01
17014,Resort Hotel,178,4,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171.0,UNK,0,Transient,60.0,0,0,0,0.041006423240637836,2016-10-01
17015,Resort Hotel,24,2,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,UNK,0,Transient,97.75,0,2,0,0.05597821502969434,2016-10-01
17016,City Hotel,16,2,1,1,0.0,0,BB,CYP,Corporate,Corporate,0,0,0,A,A,0,No Deposit,UNK,150.0,0,Transient,95.0,0,0,0,0.3057172560339243,2016-10-01
17017,City Hotel,26,2,0,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,160.0,0,1,0,0.3298132827942513,2016-10-01
17018,City Hotel,102,2,1,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,UNK,0,Transient,108.0,0,1,0,0.3341790984630031,2016-10-01
17019,Resort Hotel,159,2,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,UNK,0,Transient,77.0,1,1,0,0.00690395592262608,2016-10-01
17020,Resort Hotel,163,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,UNK,0,Transient,95.0,1,2,0,0.013617423299683809,2016-10-01
17021,City Hotel,259,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10.0,UNK,0,Transient,96.1,0,0,0,0.03313410153515575,2016-10-01
17022,City Hotel,0,1,0,2,0.0,0,SC,PRT,Direct,Direct,1,0,0,A,E,0,No Deposit,UNK,UNK,0,Transient,170.0,0,0,1,0.7284452845816219,2016-10-02
17023,City Hotel,210,1,0,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,7.0,UNK,0,Transient,83.85,0,1,0,0.15695341845460267,2016-10-02
17024,City Hotel,74,1,0,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,7.0,UNK,0,Transient,91.48,0,1,0,0.16458720308300762,2016-10-02
17025,City Hotel,14,1,0,1,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,B,0,No Deposit,UNK,150.0,0,Transient,95.0,0,0,0,0.24147501656008422,2016-10-02
17026,City Hotel,36,1,1,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,148.5,1,2,0,0.02021562871972051,2016-10-02
17027,City Hotel,281,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9.0,UNK,0,Transient-Party,108.8,0,0,0,0.057930292649395046,2016-10-02
17028,City Hotel,281,1,3,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,7,No Deposit,9.0,UNK,0,Transient-Party,126.3,0,0,0,0.057930292649395046,2016-10-02
17029,City Hotel,133,1,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,UNK,0,Transient,118.8,0,2,0,0.1997180791565589,2016-10-02
17030,City Hotel,281,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,2,No Deposit,9.0,UNK,0,Transient,168.3,0,0,0,0.08861515192646861,2016-10-02
17031,City Hotel,281,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,9.0,UNK,0,Transient-Party,108.8,0,0,0,0.057930292649395046,2016-10-02
17032,City Hotel,0,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,3,A,E,0,No Deposit,UNK,40.0,0,Transient,65.0,0,0,1,0.6841670736749804,2016-10-02
17033,Resort Hotel,61,3,8,2,0.0,0,BB,IRL,Direct,Direct,1,0,1,D,D,0,No Deposit,UNK,UNK,0,Transient,10.0,0,0,0,0.1950092596718596,2016-10-02
17034,City Hotel,45,1,0,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,UNK,0,Transient,158.4,0,1,0,0.31742791431075756,2016-10-02
17035,City Hotel,1,1,1,2,0.0,0,BB,PRT,Complementary,Corporate,0,0,0,A,B,1,No Deposit,341.0,UNK,0,Transient,0.0,1,2,0,0.037440250100059136,2016-10-02
17036,Resort Hotel,341,3,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,40.0,UNK,0,Transient-Party,39.4,0,1,0,0.010198541032328801,2016-10-02
17037,Resort Hotel,0,1,5,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,UNK,UNK,0,Transient,105.0,0,0,1,0.6713823571716414,2016-10-02
17038,Resort Hotel,32,1,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240.0,UNK,0,Transient,208.0,1,0,0,0.028929251498235553,2016-10-02
17039,City Hotel,6,1,0,1,0.0,0,BB,ESP,Corporate,Corporate,1,0,1,A,A,0,No Deposit,UNK,174.0,0,Transient-Party,89.0,0,0,0,0.10807323073857847,2016-10-02
17040,City Hotel,0,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,E,0,No Deposit,UNK,238.0,0,Transient,65.0,0,0,1,0.6293456101641818,2016-10-02
17041,City Hotel,19,1,2,1,0.0,0,BB,FRA,Corporate,Corporate,1,1,5,A,A,0,No Deposit,UNK,91.0,0,Transient,95.0,0,0,0,0.26160498066733007,2016-10-02
17042,City Hotel,109,1,1,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,UNK,UNK,0,Transient,0.0,0,0,1,0.6646632081928411,2016-10-02
17043,City Hotel,27,1,1,2,0.0,0,BB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,UNK,0,Transient,95.0,0,0,0,0.16618363284039456,2016-10-02
17044,City Hotel,11,1,1,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,UNK,0,Transient,130.9,0,1,0,0.06735084678975907,2016-10-02
17045,City Hotel,4,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,UNK,40.0,0,Transient,67.0,1,1,0,0.0352581721835415,2016-10-02
17046,Resort Hotel,7,1,1,2,0.0,0,BB,UNK,Corporate,Corporate,0,0,0,A,D,0,No Deposit,UNK,42.0,0,Transient,50.0,0,0,0,0.4451680949279357,2016-10-02
17047,City Hotel,24,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,B,0,No Deposit,UNK,221.0,0,Transient,95.0,0,0,1,0.6161949096790336,2016-10-02
17048,City Hotel,3,1,0,2,0.0,0,BB,PRT,Aviation,Corporate,1,0,1,D,D,0,No Deposit,UNK,153.0,0,Transient,110.0,0,0,1,0.6665486733487146,2016-10-02
